Index,en,fr,es
0,That's a bad news you're telling me there... All my condolences...,C'est une bien triste nouvelle ce que vous me racontez là... Toutes mes condoléances...,
1,Fortunately your PC still contains some Pokémon. You can continue your adventure.,Heureusement votre PC contient encore quelques Pokémon. Vous pouvez continuer votre aventure.,
2,\p[1] is poisoned. He should be given an antidote.,"\p[1] est empoisonné, il faudrait lui donner un antidote.",
3,\n[1] gets on the bike.,\n[1] monte sur la bicyclette.,
4,There is nothing here...,Il n'y a rien ici...,
5,[VAR PKNICK(0000)] uses Headbutt.,[VAR PKNICK(0000)] utilise Coup d'Boule.,
6,A Pokémon might shake this tree...,Un Pokémon pourrait secouer cette arbre...,
7,You are facing a swirl... Do you want to make it disappear?,Vous êtes face à un siphon... Voulez-vous le faire disparaître ?,
8,A swirl is making the swimming difficult. An ability could make it disappear.,Un siphon rend la nage difficile. Une capacité pourrait le faire disparaître.,
9,Do you want to use Rock Climb?,Voulez-vous utiliser Escalade ?,
10,[VAR PKNICK(0000)] uses Rock Climb!,[VAR PKNICK(0000)] utilise Escalade !,
11,\n[1] gets on the Acro Bike.,\n[1] monte sur le Vélo Cross.,
12,[VAR PKNAME(0000)] used [VAR MOVE(0000)]!,[VAR PKNAME(0000)] utilise [VAR MOVE(0000)] !,
13,The wild [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,Le [VAR PKNAME(0000)] ennemi utilise [VAR MOVE(0000)] !,
14,The opposing [VAR PKNAME(0000)] used [VAR MOVE(0000)]!,Le [VAR PKNAME(0000)] sauvage utilise [VAR MOVE(0000)] !,
