fr,en,es
"Si tu continues ta route, tu commenceras une petite aventure qui te montrera les nouveautés de PSDK 24.0...","If you continue on your way, you'll start a short adventure exhibiting the new features of PSDK 24.0",
T'es sûr que tu veux voir tout ça ?,Are you sure you want to see all of that?,
"Tu n'as pas de chaussures de courses ! Tiens, prends les miennes. J'en ai une paire de rechange.","You don't have running shoes! Here, take mine. I have a spare pair.",
"Tu as déjà des chaussures de course, parfait !","You already have running shoes, perfect!",
"Quoi qu'il en soit, si tu veux activer ou désactiver les chaussures de course, cherche l'interrupteur 53 \C[1]Chaussures de course\C[0].","Anyway, if you want to enable or disable the running shoes, look for switch 53 \C[1]Running Shoes\C[0].",
"Je vais te suivre, comme ça je pourrai facilement t'expliquer tout ce qu'il se passe dans le coin !","I'm going to follow you, that way I can easily explain everything happening around to you!",
,,
"A l'aventure compagnons, je suis parti vers l'horizon !","To adventure, companions, I left towards the horizon!",
"J'aurais mieux faire d'rester chez moi, la suite vous le dira...","I should have stayed at home, what follows will tell you...",
"J'aurais mieux faire d'rester au lit, c'donjon il est pourri !","I should have stayed in my bed, this dungeon, it is rotten.",
"A l'aventure, nom d'un chien.\nlJe n'irai plus faire le malin !","To adventure, holy crap.\nlI will not show off anymore.",
J'aurais mieux faire d'rester chez moi.\nlA faire des chaises en bois !,"I should have stayed at home, making wooden chairs.",
Que puis-je pour toi ?,How can I help you?,
Recommencer la visite,Restart the tour,
Arrêter la visite,Stop the tour,
Non rien,Nothing,
On continue ?,Shall we proceed?,
,,
Je crois que tu as déjà tous les vélos que je connaisse...,I think you already own every kind of bike I know of...,
"Bien le bonjour, je fabrique des vélos à partir des cendres que tu peux ramasser par ici et d'autres matériaux qu'on trouve dans la montagne.",Hello there! I craft bikes from the ashes you can collect around here and from other materials you can find in the mountain.,
"Pour un vélo course, c'est 30 cendres et un Carbone.","For a mach bike, it's 30 ashes and 1 Carbon.",
Pour un vélo cross c'est 30 cendres et un Calcium.,"For a cross bike, it's 30 ashes and 1 Calcium.",
Tu as [VAR NUM1(0000)] cendres.,You currently have [VAR NUM1(0000)] ashes.,
Tu as suffisament de cendre pour faire un vélo.,You have enough ash to craft a bike.,
"Je peux te fabriquer le vélo cross, tu le veux ?",I could craft a cross bike for you. Do you want it?,
C'est parti ! Donne moi les cendres et le Calcium !,Let's go! Give me the ashes and the Calcium!,
"Je peux te fabriquer le vélo course, tu le veux ?",I could craft a mach bike for you. Do you want it?,
C'est parti ! Donne moi les cendres et le Carbone !,Let's go! Give me the ashes and the Carbon!,
Mais pas les matériaux spécifiques à chaque vélo. Reviens plus tard.,But you don't have any of the other specific materials for any bike. Come back later.,
On dirait que tu n'en as pas ramassé assez...,Looks like you don't have enough yet...,
A bientôt !,See you soon!,
,,
